Dataset,N imagens,N Annotations,Nimagens with Annotations +,ball,concealed ball,goal,goalpost,obstacle,robot
148,445,1087,260,445,0,0,0,0,642
169,0,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0,0
163,921,921,918,921,0,0,0,0,0
143,0,0,0,0,0,0,0,0,0
97,770,2741,503,771,0,0,0,151,1819
208,4485,4485,0,4485,0,0,0,0,0
30,936,1134,936,936,0,0,105,0,93
132,652,1947,479,654,0,0,0,0,1293
203,3360,3360,0,3360,0,0,0,0,0
101,796,2855,776,463,0,0,0,0,2392
167,276,276,270,276,0,0,0,0,0
20,217,320,216,210,3,41,10,0,56
179,4,4,4,4,0,0,0,0,0
221,1,2,1,2,0,0,0,0,0
61,377,580,377,0,0,0,0,0,580
216,0,0,0,0,0,0,0,0,0
5,1000,1300,1000,1002,10,0,182,0,106
174,2096,2100,435,2099,0,0,1,0,0
212,2238,2238,0,2238,0,0,0,0,0
185,576,1207,221,579,0,0,628,0,0
34,1502,1505,1502,1504,0,0,1,0,0
254,446,881,446,434,0,0,0,0,447
262,843,843,843,843,0,0,0,0,0
156,1016,1016,1016,1016,0,0,0,0,0
19,316,317,311,270,0,47,0,0,0
202,4720,4720,0,4720,0,0,0,0,0
181,486,487,486,487,0,0,0,0,0
187,9,9,9,1,0,0,8,0,0
123,454,1051,128,455,0,0,0,0,596
146,0,0,0,0,0,0,0,0,0
209,0,0,0,0,0,0,0,0,0
204,2969,2969,0,2969,0,0,0,0,0
135,651,3126,560,652,0,0,0,0,2474
141,652,1560,526,0,0,0,0,0,1560
162,822,1835,822,976,0,0,859,0,0
32,928,1165,928,954,0,0,118,0,93
205,817,818,302,817,1,0,0,0,0
122,67,148,23,67,0,0,0,0,81
149,329,881,304,329,0,0,0,0,552
133,691,1722,408,692,0,0,0,0,1030
134,653,3968,605,653,280,0,0,0,3035
21,73,73,73,73,0,0,0,0,0
15,1000,1257,1000,1000,0,0,156,0,101
150,2614,5229,2614,2614,0,0,0,0,2615
138,0,0,0,0,0,0,0,0,0
182,0,0,0,0,0,0,0,0,0
177,0,0,0,0,0,0,0,0,0
172,0,0,0,0,0,0,0,0,0
259,1998,2002,1998,2001,0,0,1,0,0
183,64,72,57,72,0,0,0,0,0
165,911,912,911,911,1,0,0,0,0
6,1000,1240,1000,1008,0,1,140,0,91
105,993,3151,905,1009,0,0,0,0,2142
136,652,1869,534,0,0,0,0,0,1869
33,1000,1221,1000,1006,0,0,115,0,100
180,3,4,3,3,1,0,0,0,0
176,0,0,0,0,0,0,0,0,0
13,1000,1240,1000,1000,0,0,139,0,101
189,1751,4575,1243,1750,0,0,2825,0,0
157,1267,1270,1267,1267,0,0,3,0,0
128,0,0,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0,0,0
98,1105,3976,999,1105,0,0,0,0,2871
242,249,558,211,249,0,0,0,0,309
140,643,1636,541,0,0,0,0,0,1636
29,924,1146,924,927,0,0,125,0,94
124,398,1059,249,400,0,0,0,0,659
35,2799,4283,2407,2314,2,0,1592,0,375
206,1,1,1,1,0,0,0,0,0
151,326,652,326,326,0,0,0,0,326
253,445,955,445,399,0,0,0,0,556
100,937,2884,795,938,0,0,0,0,1946
36,5240,7274,5240,5612,0,0,647,0,1015
142,638,1761,408,638,0,0,0,0,1123
81,1826,2719,1826,1832,0,0,887,0,0
17,1000,1252,1000,1005,0,30,118,0,99
154,97,165,97,97,0,0,68,0,0
252,6283,8827,5104,2485,35,0,0,0,6307
131,652,2961,578,678,0,0,0,0,2283
159,351,355,351,355,0,0,0,0,0
178,64,64,64,64,0,0,0,0,0
184,731,1668,389,736,0,0,932,0,0
139,0,0,0,0,0,0,0,0,0
211,0,0,0,0,0,0,0,0,0
261,21,21,21,21,0,0,0,0,0
102,910,4105,723,910,0,0,0,0,3195
233,1000,1124,408,0,0,0,1124,0,0
14,1000,1226,1000,1000,0,0,126,0,100
170,2,3,2,2,1,0,0,0,0
25,1000,1425,940,1013,161,0,151,0,100
190,221,268,46,221,0,0,20,0,27
104,937,2725,759,942,0,0,0,0,1783
127,0,0,0,0,0,0,0,0,0
168,368,639,368,333,0,0,198,0,108
191,2733,5404,951,2769,0,0,2635,0,0
258,1175,1283,1150,1283,0,0,0,0,0
155,340,340,340,340,0,0,0,0,0
260,3366,6944,3366,6944,0,0,0,0,0
210,5136,5136,0,5136,0,0,0,0,0
250,1918,3807,1798,1764,0,0,0,0,2043
18,1000,1242,1000,1004,0,0,137,0,101
166,2026,3900,2021,2045,0,0,1855,0,0
45,10,20,10,11,0,0,0,0,9
99,1022,3182,784,1022,0,0,0,0,2160
130,694,1658,275,703,0,0,0,0,955
121,128,285,58,128,0,0,0,0,157
125,423,906,102,426,0,0,0,0,480
145,0,0,0,0,0,0,0,0,0
196,1517,1527,1517,1527,0,0,0,0,0
16,1000,1254,1000,1008,0,4,142,0,100
171,0,0,0,0,0,0,0,0,0
188,219,509,22,219,66,0,224,0,0
137,144,352,128,0,0,0,0,0,352
269,0,0,0,0,0,0,0,0,0
153,283,283,283,283,0,0,0,0,0
103,335,1484,294,335,0,0,0,0,1149
160,203,491,203,208,1,0,280,1,1
164,772,773,772,773,0,0,0,0,0
037,0,0,0,0,0,0,0,0,0
126,0,0,0,0,0,0,0,0,0
186,875,1816,391,876,0,0,940,0,0
197,5853,5899,5832,5875,0,0,5,0,19
243,249,529,190,249,0,0,0,0,280
12,1000,1217,1000,1003,0,0,114,0,100
96,1189,5405,1017,1189,0,0,0,0,4216
7,1000,1224,1000,1009,0,0,117,0,98
161,262,283,246,0,2,0,280,0,1
147,0,0,0,0,0,0,0,0,0
175,0,0,0,0,0,0,0,0,0
31,896,1089,896,896,0,0,103,0,90
251,2569,4469,2121,1856,21,0,0,0,2592
